iter	RMSE
0	3521.984451
1	3271.513407
2	3053.652712
3	2861.104172
4	2693.464744
5	2546.234145
6	2417.789083
7	2304.676524
8	2207.060732
9	2122.30164
10	2043.59482
11	1976.299437
12	1919.842609
13	1868.543605
14	1824.460267
15	1787.794981
16	1755.169977
17	1728.108256
18	1702.096973
19	1679.929034
20	1660.44664
21	1642.492835
22	1627.022897
23	1612.497638
24	1600.059866
25	1589.698044
26	1580.780348
27	1571.688432
28	1563.938985
29	1557.516807
30	1551.345209
31	1545.535027
32	1540.019297
33	1535.709124
34	1530.736042
35	1526.271429
36	1522.312757
37	1518.196236
38	1514.44029
39	1511.131206
40	1507.896171
41	1503.14502
42	1499.796546
43	1496.843527
44	1494.421618
45	1491.575807
46	1487.881773
47	1485.922121
48	1483.270164
49	1481.044684
50	1477.599875
51	1476.582586
52	1474.531273
53	1471.477172
54	1468.447364
55	1464.869338
56	1462.649177
57	1460.737157
58	1458.713711
59	1456.593006
60	1454.112582
61	1452.170213
62	1450.507048
63	1449.66302
64	1448.265463
65	1447.161163
66	1446.039342
67	1443.02876
68	1441.309465
69	1439.446243
70	1438.087795
71	1436.594574
72	1435.603686
73	1434.330197
74	1432.851331
75	1431.241807
76	1430.179357
77	1428.370089
78	1427.482455
79	1425.517019
80	1424.349651
81	1422.713304
82	1421.597091
83	1420.563634
84	1418.539499
85	1418.196202
86	1417.458792
87	1416.083518
88	1413.966477
89	1412.679195
90	1411.99881
91	1411.269262
92	1410.494287
93	1409.044134
94	1407.994762
95	1407.027372
96	1406.104143
97	1405.347008
98	1404.241235
99	1403.353991
100	1402.562402
101	1401.634215
102	1400.961402
103	1399.513264
104	1398.704282
105	1397.448426
106	1396.730158
107	1395.335546
108	1394.834849
109	1393.839843
110	1393.227171
111	1392.579188
112	1391.397391
113	1390.202967
114	1389.496152
115	1388.729316
116	1387.683482
117	1386.908745
118	1385.766982
119	1385.163213
120	1384.224277
121	1382.701738
122	1381.718421
123	1380.81751
124	1380.019585
125	1378.751332
126	1378.403474
127	1377.785002
128	1377.287226
129	1376.515508
130	1375.467727
131	1374.646419
132	1373.685206
133	1371.746631
134	1371.072577
135	1370.813243
136	1369.172089
137	1368.315673
138	1367.842568
139	1367.538933
140	1367.17371
141	1366.327734
142	1365.720178
143	1365.180647
144	1364.712288
145	1363.350088
146	1362.495034
147	1361.389587
148	1360.837544
149	1359.541409
150	1358.621501
151	1357.058459
152	1356.416982
153	1355.568876
154	1354.286018
155	1353.837397
156	1353.150568
157	1352.257674
158	1351.956796
159	1351.61419
160	1351.011172
161	1350.509293
162	1349.686075
163	1349.429164
164	1348.980015
165	1348.091471
166	1346.544607
167	1345.975848
168	1345.130246
169	1344.102492
170	1343.184533
171	1342.987244
172	1342.204918
173	1340.858243
174	1340.247944
175	1339.777568
176	1339.247653
177	1338.981236
178	1338.594145
179	1338.429091
180	1337.50876
181	1337.268423
182	1336.453924
183	1335.210098
184	1334.545298
185	1333.690488
186	1333.14962
187	1332.486225
188	1331.757649
189	1330.881939
190	1329.998487
191	1329.14501
192	1328.246626
193	1327.239664
194	1326.30666
195	1325.168482
196	1324.603963
197	1323.804073
198	1323.023937
199	1322.827311
200	1322.306406
201	1321.458915
202	1320.883137
203	1320.309445
204	1320.136015
205	1319.525459
206	1318.665616
207	1318.096539
208	1317.308569
209	1316.894527
210	1316.355187
211	1315.615514
212	1315.006792
213	1314.552612
214	1313.525442
215	1312.888246
216	1312.095762
217	1310.994512
218	1310.452418
219	1309.54691
220	1308.938636
221	1308.219435
222	1307.965652
223	1307.445925
224	1306.754686
225	1306.329853
226	1305.829302
227	1305.007142
228	1304.352854
229	1303.924401
230	1303.115459
231	1302.671613
232	1302.104978
233	1301.517157
234	1301.075127
235	1300.693548
236	1300.11469
237	1299.854371
238	1298.928025
239	1298.230766
240	1297.816431
241	1296.945723
242	1296.441278
243	1295.962953
244	1295.308113
245	1294.613863
246	1294.222628
247	1293.61716
248	1293.06171
249	1292.584328
250	1292.342545
251	1291.448712
252	1291.115851
253	1290.785844
254	1290.084032
255	1289.285285
256	1288.80642
257	1288.209204
258	1287.373692
259	1287.315473
260	1286.935681
261	1286.017079
262	1285.800338
263	1285.301095
264	1284.763424
265	1284.267991
266	1283.631935
267	1282.933072
268	1282.46573
269	1282.211815
270	1281.911896
271	1281.756084
272	1281.392466
273	1281.339105
274	1281.076147
275	1280.630714
276	1280.234615
277	1279.817238
278	1279.158027
279	1278.585107
280	1278.223857
281	1278.079289
282	1277.969079
283	1277.889176
284	1277.48125
285	1276.991693
286	1276.782053
287	1276.707985
288	1276.057689
289	1275.236878
290	1274.659583
291	1273.876715
292	1273.445668
293	1272.733366
294	1272.059152
295	1271.481557
296	1270.953207
297	1270.479891
298	1270.385448
299	1270.139731
300	1269.683058
301	1269.280839
302	1269.042412
303	1268.005657
304	1267.672528
305	1267.24992
306	1266.473984
307	1265.83833
308	1265.174397
309	1264.687224
310	1264.605123
311	1264.169165
312	1263.907819
313	1263.551566
314	1262.512132
315	1261.8375
316	1261.193791
317	1260.903929
318	1260.631962
319	1260.053602
320	1259.91145
321	1259.398253
322	1258.994679
323	1258.551128
324	1258.2875
325	1257.715134
326	1257.613149
327	1257.496046
328	1256.959467
329	1256.776377
330	1255.932288
331	1255.520017
332	1255.000357
333	1254.173582
334	1253.742775
335	1253.448721
336	1253.304546
337	1253.027764
338	1252.597645
339	1251.658611
340	1251.154562
341	1250.761577
342	1250.342855
343	1250.114007
344	1250.011653
345	1249.40573
346	1248.830452
347	1248.346117
348	1247.967849
349	1247.873875
350	1247.593238
351	1247.146845
352	1246.777289
353	1246.082754
354	1245.689476
355	1245.373964
356	1244.957299
357	1244.615214
358	1244.213662
359	1243.967132
360	1243.700286
361	1243.014308
362	1242.744454
363	1242.263136
364	1241.578794
365	1241.049611
366	1240.956545
367	1240.86702
368	1240.346034
369	1240.020748
370	1239.27308
371	1238.793607
372	1238.545728
373	1238.258526
374	1237.906226
375	1237.628241
376	1237.545705
377	1237.297072
378	1236.58428
379	1236.529905
380	1235.892237
381	1235.092537
382	1234.645853
383	1233.884411
384	1233.334676
385	1232.569705
386	1231.438054
387	1230.939056
388	1230.766726
389	1230.144233
390	1229.638235
391	1229.131623
392	1228.317536
393	1227.657364
394	1227.170041
395	1226.75885
396	1226.353851
397	1226.277804
398	1225.947292
399	1225.54177
400	1224.865403
401	1224.273192
402	1223.677398
403	1223.439418
404	1223.181401
405	1222.933359
406	1222.533858
407	1221.96233
408	1221.847779
409	1221.371247
410	1220.944119
411	1220.623445
412	1220.197677
413	1219.622482
414	1219.256538
415	1219.036334
416	1218.830639
417	1218.306647
418	1217.771376
419	1217.44112
420	1216.9618
421	1216.331306
422	1216.115481
423	1215.743832
424	1215.642238
425	1214.945327
426	1214.511179
427	1213.868459
428	1213.09152
429	1212.953303
430	1212.507569
431	1212.314614
432	1212.030204
433	1211.423325
434	1211.144956
435	1210.885343
436	1210.363181
437	1210.317789
438	1209.883827
439	1209.602891
440	1209.21294
441	1208.59251
442	1207.724995
443	1207.365105
444	1206.896905
445	1206.573144
446	1205.857197
447	1205.263379
448	1204.265258
449	1203.812882
450	1203.368752
451	1203.059324
452	1202.305788
453	1202.0858
454	1201.712744
455	1201.380288
456	1200.929112
457	1200.432202
458	1200.043653
459	1199.535896
460	1199.359575
461	1199.066562
462	1198.851122
463	1198.042309
464	1197.888446
465	1197.400323
466	1196.806685
467	1196.452004
468	1196.296708
469	1196.006985
470	1195.775571
471	1195.185103
472	1194.98902
473	1194.76627
474	1194.357764
475	1194.058141
476	1193.301395
477	1192.901671
478	1192.706894
479	1192.407894
480	1192.276504
481	1191.870265
482	1191.790613
483	1191.287258
484	1190.975794
485	1190.29647
486	1189.974135
487	1189.574228
