iter	Passed	Remaining
0	135	134960
1	231	115521
2	306	101859
3	388	96738
4	472	93997
5	555	91979
6	643	91324
7	729	90418
8	815	89835
9	896	88719
10	968	87101
11	1045	86039
12	1106	84015
13	1189	83800
14	1282	84231
15	1361	83708
16	1435	83032
17	1510	82411
18	1582	81705
19	1659	81331
20	1743	81282
21	1818	80837
22	1893	80439
23	1969	80086
24	2052	80038
25	2125	79612
26	2192	79005
27	2273	78914
28	2360	79024
29	2426	78466
30	2510	78484
31	2579	78026
32	2648	77623
33	2716	77167
34	2793	77030
35	2875	76997
36	2962	77107
37	3034	76832
38	3119	76866
39	3189	76548
40	3262	76314
41	3340	76185
42	3413	75975
43	3502	76093
44	3572	75823
45	3654	75786
46	3729	75619
47	3798	75337
48	3908	75857
49	3992	75852
50	4067	75696
51	4147	75605
52	4229	75575
53	4310	75518
54	4394	75509
55	4470	75362
56	4552	75307
57	4641	75387
58	4726	75380
59	4795	75122
60	4868	74940
61	4948	74860
62	5023	74714
63	5115	74814
64	5193	74699
65	5275	74662
66	5367	74747
67	5447	74668
68	5523	74533
69	5603	74446
70	5695	74525
71	5776	74458
72	5880	74670
73	5959	74570
74	6045	74567
75	6148	74751
76	6236	74754
77	6314	74642
78	6406	74686
79	6485	74588
80	6571	74562
81	6644	74381
82	6710	74138
83	6782	73962
84	6856	73808
85	6940	73759
86	7023	73706
87	7107	73660
88	7184	73540
89	7254	73347
90	7331	73234
91	7428	73316
92	7520	73341
93	7606	73315
94	7684	73206
95	7759	73065
96	7828	72875
97	7907	72777
98	7985	72680
99	8061	72554
100	8131	72378
101	8209	72275
102	8288	72182
103	8364	72066
104	8441	71953
105	8521	71870
106	8590	71697
107	8664	71564
108	8751	71534
109	8829	71437
110	8900	71283
111	8978	71186
112	9060	71118
113	9143	71063
114	9221	70968
115	9292	70811
116	9370	70718
117	9450	70639
118	9525	70520
119	9607	70452
120	9676	70297
121	9753	70191
122	9824	70048
123	9898	69926
124	9977	69839
125	10051	69724
126	10138	69695
127	10206	69529
128	10277	69393
129	10350	69267
130	10422	69136
131	10497	69031
132	10579	68963
133	10665	68928
134	10734	68780
135	10812	68691
136	10882	68552
137	10954	68425
138	11027	68308
139	11116	68285
140	11188	68159
141	11268	68084
142	11349	68020
143	11420	67887
144	11505	67845
145	11582	67749
146	11649	67599
147	11720	67473
148	11796	67375
149	11878	67311
150	11961	67252
151	12047	67210
152	12118	67084
153	12193	66986
154	12274	66913
155	12351	66827
156	12424	66710
157	12511	66675
158	12587	66579
159	12658	66457
160	12735	66365
161	12804	66236
162	12881	66147
163	12955	66041
164	13042	66002
165	13115	65895
166	13188	65785
167	13256	65651
168	13331	65553
169	13406	65456
170	13482	65362
171	13566	65308
172	13642	65214
173	13720	65134
174	13795	65036
175	13871	64941
176	13959	64907
177	14038	64829
178	14127	64797
179	14222	64793
180	14311	64757
181	14397	64708
182	14479	64645
183	14561	64576
184	14634	64470
185	14719	64417
186	14806	64373
187	14878	64264
188	14960	64196
189	15056	64186
190	15132	64097
191	15217	64039
192	15299	63970
193	15403	63995
194	15489	63944
195	15571	63875
196	15640	63754
197	15727	63705
198	15818	63672
199	15899	63598
200	15978	63515
201	16057	63433
202	16137	63357
203	16227	63320
204	16300	63215
205	16377	63124
206	16455	63040
207	16531	62945
208	16607	62855
209	16684	62767
210	16766	62696
211	16842	62604
212	16926	62539
213	17013	62488
214	17100	62435
215	17185	62377
216	17265	62300
217	17354	62251
218	17430	62160
219	17520	62118
220	17601	62042
221	17674	61940
222	17747	61836
223	17832	61778
224	17911	61695
225	17987	61601
226	18059	61498
227	18135	61405
228	18215	61327
229	18286	61219
230	18353	61097
231	18428	61003
232	18506	60919
233	18573	60800
234	18656	60731
235	18742	60673
236	18812	60565
237	18882	60455
238	18967	60393
239	19036	60282
240	19137	60271
241	19226	60222
242	19306	60144
243	19390	60080
244	19477	60021
245	19559	59950
246	19631	59847
247	19707	59759
248	19784	59670
249	19867	59602
